replicate,time,obs
8,79,225.0
8,80,220.0
8,81,276.0
8,82,281.0
8,83,279.0
8,84,271.0
8,85,284.0
8,86,274.0
8,87,288.0
8,88,330.0
8,89,320.0
8,90,354.0
8,91,342.0
8,92,395.0
8,93,389.0
8,94,407.0
8,95,409.0
8,96,434.0
8,97,407.0
8,98,465.0
8,99,474.0
8,100,483.0
8,101,480.0
8,102,510.0
8,103,520.0
8,104,540.0
8,105,640.0
8,106,615.0
8,107,627.0
8,108,631.0
8,109,707.0
8,110,779.0
8,111,763.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,1.0
9,20,0.0
9,21,1.0
9,22,4.0
9,23,2.0
9,24,6.0
9,25,5.0
9,26,7.0
9,27,16.0
9,28,9.0
9,29,21.0
9,30,22.0
9,31,39.0
9,32,33.0
9,33,39.0
9,34,36.0
9,35,41.0
9,36,39.0
9,37,54.0
9,38,60.0
9,39,56.0
9,40,63.0
9,41,71.0
9,42,73.0
9,43,75.0
9,44,86.0
9,45,76.0
9,46,91.0
9,47,95.0
9,48,98.0
9,49,111.0
9,50,115.0
9,51,138.0
9,52,143.0
9,53,114.0
9,54,107.0
9,55,140.0
9,56,156.0
9,57,141.0
9,58,141.0
9,59,188.0
9,60,145.0
9,61,167.0
9,62,168.0
9,63,179.0
9,64,183.0
9,65,182.0
9,66,181.0
9,67,192.0
9,68,182.0
9,69,202.0
9,70,206.0
9,71,228.0
9,72,210.0
9,73,204.0
9,74,217.0
9,75,215.0
9,76,222.0
9,77,231.0
9,78,225.0
9,79,254.0
9,80,255.0
9,81,265.0
9,82,251.0
9,83,296.0
9,84,288.0
9,85,303.0
9,86,288.0
9,87,310.0
9,88,326.0
9,89,335.0
9,90,359.0
9,91,329.0
9,92,386.0
9,93,424.0
9,94,386.0
9,95,381.0
9,96,393.0
9,97,447.0
9,98,427.0
9,99,485.0
9,100,461.0
9,101,472.0
9,102,492.0
9,103,513.0
9,104,551.0
9,105,602.0
9,106,569.0
9,107,611.0
9,108,699.0
9,109,710.0
9,110,788.0
9,111,779.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,3.0
10,21,2.0
10,22,1.0
10,23,3.0
10,24,4.0
10,25,7.0
10,26,8.0
10,27,8.0
10,28,14.0
10,29,11.0
10,30,20.0
10,31,24.0
10,32,30.0
10,33,22.0
10,34,42.0
10,35,42.0
10,36,43.0
10,37,58.0
10,38,66.0
10,39,77.0
10,40,66.0
10,41,61.0
10,42,75.0
10,43,69.0
10,44,81.0
10,45,89.0
10,46,99.0
10,47,96.0
10,48,125.0
10,49,113.0
10,50,117.0
10,51,124.0
10,52,118.0
10,53,135.0
10,54,148.0
10,55,157.0
10,56,147.0
10,57,133.0
10,58,157.0
10,59,175.0
10,60,170.0
10,61,176.0
10,62,183.0
10,63,160.0
10,64,166.0
10,65,154.0
10,66,210.0
10,67,177.0
10,68,199.0
10,69,193.0
10,70,193.0
10,71,190.0
10,72,177.0
10,73,203.0
10,74,216.0
10,75,225.0
10,76,212.0
10,77,236.0
10,78,263.0
10,79,263.0
10,80,279.0
10,81,224.0
10,82,262.0
10,83,275.0
10,84,293.0
10,85,308.0
10,86,255.0
10,87,301.0
10,88,292.0
10,89,357.0
10,90,349.0
10,91,377.0
10,92,336.0
10,93,373.0
10,94,422.0
10,95,408.0
10,96,413.0
10,97,442.0
10,98,476.0
10,99,413.0
10,100,453.0
10,101,485.0
10,102,500.0
10,103,547.0
10,104,592.0
10,105,558.0
10,106,595.0
10,107,650.0
10,108,634.0
10,109,731.0
10,110,711.0
10,111,785.0
