t,IH,X
622,249.9710748,0.05
623,249.5784107,0.05
624,247.5768253,0.05
625,245.6552228,0.05
626,245.4870294,0.05
627,244.7886489,0.05
628,241.0585181,0.05
629,237.2559924,0.05
630,233.2917711,0.05
631,229.1166918,0.05
632,224.6897602,0.05
633,219.4385439,0.05
634,216.8216525,0.05
635,216.7765827,0.05
636,216.227032,0.05
637,213.304975,0.05
638,211.0754172,0.05
639,210.8708249,0.05
640,208.144961,0.05
641,203.4787544,0.05
642,198.6625327,0.05
643,193.8332627,0.05
644,188.9902211,0.05
645,184.0128961,0.05
646,178.9151308,0.05
647,178.4937999,0.05
648,178.4470292,0.05
649,177.8872646,0.05
650,175.3214061,0.05
651,170.2589862,0.05
652,165.3161761,0.05
653,160.4989906,0.05
654,155.5302194,0.05
655,150.8506776,0.05
656,146.043794,0.05
657,141.3861473,0.05
658,137.2969428,0.05
659,133.2193922,0.05
660,129.2840419,0.05
661,125.4016582,0.05
662,121.4678828,0.05
663,117.4791295,0.05
664,113.2687282,0.05
665,109.677475,0.05
666,106.332616,0.05
667,103.0021215,0.05
668,99.96282623,0.05
669,97.14989485,0.05
670,96.00407639,0.05
671,94.43794651,0.05
672,92.97956929,0.05
673,92.61386608,0.05
674,89.73619581,0.05
675,87.0719349,0.05
676,84.71480277,0.05
677,82.51390646,0.05
678,80.62614593,0.05
679,79.07761806,0.05
680,77.91770419,0.05
681,77.15481107,0.05
682,76.86701394,0.05
683,77.12006093,0.3
684,77.95156283,0.3
685,79.4476521,0.3
686,81.49691538,0.3
687,84.3722521,0.3
688,87.96451944,0.3
689,91.13542543,0.3
690,93.00274789,0.3
691,96.00619605,0.3
692,97.97657347,0.3
693,101.7340135,0.3
694,104.4310649,0.3
695,111.4405241,0.3
696,119.4947955,0.3
697,128.1016004,0.3
698,137.3901897,0.3
699,147.0479913,0.3
700,157.1051867,0.3
701,167.7103883,0.3
702,177.9999912,0.3
703,187.2904252,0.05
704,196.1097142,0.05
705,204.3446622,0.05
706,211.9307564,0.05
707,218.7964941,0.05
708,224.9574378,0.05
709,228.2606078,0.05
710,228.366288,0.05
711,232.542411,0.05
712,232.5672126,0.05
713,233.8426084,0.05
714,237.2760474,0.05
715,238.3004285,0.05
716,241.0960539,0.05
717,243.5156038,0.05
718,245.2260842,0.05
719,246.256067,0.05
720,246.6436226,0.05
721,246.3716685,0.05
722,245.7468657,0.05
723,245.6405999,0.05
724,245.594878,0.05
725,244.5684306,0.05
726,244.1113205,0.05
727,244.0374278,0.05
728,243.1045235,0.05
729,241.0430888,0.05
730,238.5353418,0.05
